NJCAA
MAJCC,North,South,,,,,,,,,,,
SWJCC,Jayhawk,Cowboy,,,,,,,,,,,
MHC,East,West,,,,,,,,,,,
MWAC,North,South,,,,,,,,,,,
Nor Cal,American,National,,,,,,,,,,,
So Cal,American,National,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
TEAM,MHC,East,Hudson Valley,HDVL,70,OCC,,,,,,,
TEAM,MHC,East,Monroe,MNRO,65,LACK,,,,,,,
TEAM,MHC,East,Rockland,ROCK,55,CPCC,,,,,,,
TEAM,MHC,East,Lehigh Carbon,LCCC,55,PSC,,,,,,,
# AHC,,,,,,,,,,,,,
TEAM,MWAC,North,Minn State FF,MNFF,80,DC,,,,,,,
TEAM,MWAC,North,N Dakota SCS,NDSC,80,ICCC,,,,,,,
TEAM,MWAC,North,Rochester,ROCH,80,IWCC,,,,,,,
TEAM,MWAC,North,Central Lakes,CLCC,75,ILCN,,,,,,,
TEAM,MWAC,North,Mesabi Range,MNMR,70,ELLS,,,,,,,
TEAM,MWAC,North,Minnesota West,MNW,60,HLCC,,,,,,,
TEAM,MWAC,North,Vermilion,VCC,50,SRC,,,,,,,
TEAM,MWAC,South,Iowa Western,IWCC,90,ROCH,,,,,,,
TEAM,MWAC,South,Iowa Central,ICCC,85,NDSC,,,,,,,
TEAM,MWAC,South,DuPage,DC,80,MNFF,,,,,,,
TEAM,MWAC,South,Ellsworth,ELLS,70,MNMR,,,,,,,
TEAM,MWAC,South,Illinois Central,ILCN,60,CLCC,,,,,,,
TEAM,MWAC,South,Spoon River,SRC,60,VCC,,,,,,,
TEAM,MWAC,South,Heartland,HLCC,50,MNW,,,,,,,
# Nor Cal,,,,,,,,,,,,,
TEAM,Nor Cal,American,Snow College,SNOW,90,LANE,,,,,,,
TEAM,Nor Cal,American,Feather River,FRCC,85,CCSF,,,,,,,
TEAM,Nor Cal,American,Merced,MERC,80,CSM,,,,,,,
TEAM,Nor Cal,American,San Jose City,SJCC,80,BC,,,,,,,
TEAM,Nor Cal,American,Monterey Pen,MPEN,75,ARC,,,,,,,
TEAM,Nor Cal,American,Redwoods,RED,70,DVC,,,,,,,
TEAM,Nor Cal,American,Foothill,FC,60,FRSN,,,,,,,
TEAM,Nor Cal,National,San Francisco,CCSF,90,FRCC,,,,,,,
TEAM,Nor Cal,National,Laney,LANE,85,SNOW,,,,,,,
TEAM,Nor Cal,National,San Mateo,CSM,75,MERC,,,,,,,
TEAM,Nor Cal,National,Butte,BC,75,SJCC,,,,,,,
TEAM,Nor Cal,National,American River,ARC,75,MPEN,,,,,,,
TEAM,Nor Cal,National,Diablo Valley,DVC,70,RED,,,,,,,
TEAM,Nor Cal,National,Fresno CC,FRSN,65,FC,,,,,,,
# So Cal,,,,,,,,,,,,,
TEAM,So Cal,American,Arizona Western,AWC,85,RCC,,,,,,,
TEAM,So Cal,American,Citrus,CITR,75,FULL,,,,,,,
TEAM,So Cal,American,San Diego Mesa,SDMC,70,GWC,,,,,,,
TEAM,So Cal,American,East LA,ELAC,70,CERR,,,,,,,
TEAM,So Cal,American,Santa Barbara,SBCC,70,MSAC,,,,,,,
TEAM,So Cal,American,Desert,COTD,65,COTC,,,,,,,
TEAM,So Cal,American,Compton,COMP,65,VENT,,,,,,,
TEAM,So Cal,National,Riverside City,RCC,90,AWC,,,,,,,
TEAM,So Cal,National,Mt San Antonio,MSAC,75,SBCC,,,,,,,
TEAM,So Cal,National,Fullerton,FULL,75,CITR,,,,,,,
TEAM,So Cal,National,Golden West,GWC,70,SDMC,,,,,,,
TEAM,So Cal,National,Cerritos,CERR,70,ELAC,,,,,,,
TEAM,So Cal,National,Ventura,VENT,65,COMP,,,,,,,
TEAM,So Cal,National,Canyons,COTC,55,COTD,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,NWMS,Benjy Parker,65,90,90,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,NWMS,Stan Hill,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,NWMS,Paige Anders,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,NWMS,QB,Ren Hefley,SR,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
# PLAYER,NWMS,QB,Kabe Barnett,Jr,76,190,75,90,100,75,85,95,95
END_FILE,,,,,,,,,,,,,
